brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,latest_price_range,old_price,discount,star_rating,ratings,reviews
acer,Aspire,AMD,Athlon Dual,10th,4,DDR4,256,0,Windows,64-bit,0,Casual,15.6,1,No,No,387.43,[0.0 - 687.5],447.98,13,4.2,76,13
acer,Aspire,AMD,Dual Core,10th,4,DDR4,256,0,Windows,64-bit,0,Casual,15.6,1,No,No,363.21,[0.0 - 687.5],423.76,14,0,0,0
acer,Aspire,AMD,Ryzen,10th,4,DDR4,0,512,Windows,32-bit,4,Casual,15.6,0,No,No,665.98,[0.0 - 687.5],1077.87,38,4.5,3190,414
acer,Aspire,AMD,Ryzen 3,10th,4,DDR4,512,0,Windows,64-bit,0,Casual,15.6,0,No,No,423.76,[0.0 - 687.5],520.76,18,0,0,0
acer,Aspire,AMD,Ryzen 3,10th,8,DDR4,512,0,Windows,64-bit,0,Casual,15.6,1,No,No,447.98,[0.0 - 687.5],544.98,17,4.6,11,2
acer,Aspire,AMD,Ryzen 5,11th,4,DDR4,512,0,Windows,64-bit,0,Casual,15.6,1,No,No,544.87,[0.0 - 687.5],690.2,21,4.4,313,39
acer,Aspire,AMD,Ryzen 5,11th,4,DDR4,512,0,Windows,64-bit,0,Casual,15.6,1,No,No,605.43,[0.0 - 687.5],883.98,31,4.4,47,6
acer,Aspire,AMD,Ryzen 5,11th,4,DDR4,512,0,Windows,64-bit,0,ThinNlight,15.6,1,No,No,605.43,[0.0 - 687.5],787.09,23,4.5,6,1
acer,Aspire,AMD,Ryzen 5,11th,4,DDR4,512,0,Windows,64-bit,0,ThinNlight,15.6,1,No,No,920.42,[687.5 - 1375.0],0,0,0,0,0
acer,Aspire,AMD,Ryzen 5,11th,8,DDR4,512,0,Windows,64-bit,0,Casual,15.6,1,No,No,532.76,[0.0 - 687.5],641.87,16,0,0,0
acer,Aspire,AMD,Ryzen 7,11th,4,DDR4,512,0,Windows,64-bit,0,ThinNlight,14,1,No,No,726.54,[687.5 - 1375.0],968.86,25,0,0,0
acer,Aspire,Intel,Core i3,11th,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,15.6,1,No,No,472.21,[0.0 - 687.5],641.87,26,0,0,0
acer,Aspire,Intel,Core i5,10th,8,DDR4,0,1024,Windows,64-bit,2,Casual,15.6,1,No,No,684.16,[0.0 - 687.5],0,0,3.2,30,6
acer,Aspire,Intel,Core i5,11th,8,DDR4,0,1024,Windows,64-bit,0,Casual,15.6,0,No,No,605.43,[0.0 - 687.5],799.31,24,0,0,0
acer,Aspire,Intel,Core i5,11th,8,DDR4,0,1024,Windows,64-bit,0,ThinNlight,14,1,No,No,569.09,[0.0 - 687.5],690.31,17,3.8,253,28
acer,Aspire,Intel,Core i5,11th,8,DDR4,256,1024,Windows,64-bit,0,Casual,15.6,1,No,No,702.31,[687.5 - 1375.0],847.75,17,4.6,32,1
acer,Aspire,Intel,Core i5,11th,8,DDR4,256,1024,Windows,64-bit,0,ThinNlight,15.6,1,No,No,690.2,[687.5 - 1375.0],787.2,12,4,27,2
acer,Aspire,Intel,Core i5,11th,8,DDR4,512,0,Windows,64-bit,0,Casual,14,1,No,No,702.31,[687.5 - 1375.0],787.21,10,0,0,0
acer,Aspire,Intel,Core i5,11th,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,14,1,No,No,678.2,[0.0 - 687.5],920.42,26,4.5,6,0
acer,Aspire,Intel,Core i5,11th,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,15.6,1,No,No,641.76,[0.0 - 687.5],920.42,30,4.2,155,20
acer,Aspire,Intel,Core i5,8th,8,DDR4,0,1024,Windows,64-bit,0,ThinNlight,15.6,1,No,No,746,[687.5 - 1375.0],0,0,0,0,0
