"brand","model","processor_brand","processor_name","processor_gnrtn","ram_gb","ram_type","ssd","hdd","os","os_bit","graphic_card_gb","weight","display_size","warranty","Touchscreen","msoffice","latest_price","old_price","discount","star_rating","ratings","reviews"
"msi","Sword","Intel","Core i7","11th",16,"DDR4",512,0,"Windows","64-bit",4,"Casual",16,0,"No","No",1053.53,1307.86,19,0,0,0
"msi","WF65","Intel","Core i7","10th",16,"DDR4",256,1024,"Windows","64-bit",4,"Casual",16,3,"No","No",1937.63,2179.85,11,0,0,0
"nokia","PureBook","Intel","Core i5","10th",8,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",14,0,"No","No",556.98,908.2,38,4.7,6,1
"nokia","PureBook","Intel","Core i5","10th",8,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",14,0,"No","No",581.2,1089.98,46,4.4,1119,242
"nokia","PureBook","Intel","Core i5","11th",16,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",14,0,"No","No",678.09,1005.09,32,4.1,117,31
"nokia","PureBook","Intel","Core i5","11th",8,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",14,0,"No","No",639.34,1005.09,36,4,5,0
"realme","Book","Intel","Core i3","11th",4,"DDR4",256,0,"Windows","64-bit",0,"ThinNlight",15.6,1,"No","Yes",581.31,666.09,12,4.4,6352,1014
"realme","Book","Intel","Core i3","11th",8,"DDR4",256,0,"Windows","64-bit",0,"ThinNlight",14,1,"No","Yes",569.09,666.09,14,4.4,6352,1014
"realme","Book(Slim)","Intel","Core i5","11th",8,"DDR4",512,0,"Windows","64-bit",0,"Casual",14,1,"No","Yes",641.76,847.75,24,4.4,3470,505
"realme","Book(Slim)","Intel","Core i5","11th",8,"DDR4",512,0,"Windows","64-bit",0,"Casual",14,1,"No","Yes",738.75,847.75,12,4.4,3470,505
"redmibook","15","Intel","Core i3","11th",8,"DDR4",256,0,"Windows","32-bit",0,"ThinNlight",15.6,1,"No","No",472.21,629.76,25,4.3,1063,152
"redmibook","15","Intel","Core i3","11th",8,"DDR4",512,0,"Windows","32-bit",0,"ThinNlight",15.6,1,"No","No",520.65,678.2,23,4.3,1063,152
"redmibook","Pro","Intel","Core i5","11th",8,"DDR4",512,0,"Windows","32-bit",0,"ThinNlight",15.6,1,"No","No",593.31,726.54,18,4.2,1708,242
"samsung","Galaxy","Qualcomm","Snapdragon 7c","11th",4,"LPDDR4X",0,512,"Windows","32-bit",0,"Casual",15.6,0,"No","No",472.21,581.2,18,0,0,0
"smartron","t.book","Intel","Core i5","7th",4,"DDR3",128,0,"Windows","64-bit",0,"Casual",12.2,0,"Yes","No",641.76,678.2,5,3.9,28,4
"smartron","t.book","Intel","Core i5","7th",8,"DDR3",128,0,"Windows","64-bit",0,"Casual",15.6,0,"Yes","No",641.76,678.2,5,3.5,30,9
"smartron","t.book","Intel","Core m3","7th",4,"DDR3",128,0,"Windows","64-bit",0,"Casual",12.2,0,"Yes","No",520.65,556.98,6,3.5,25,6
"vaio","E","AMD","Ryzen 5","11th",4,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",15.6,2,"No","Yes",600.58,811.31,25,4.1,700,144
"vaio","E","AMD","Ryzen 5","11th",8,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",15.6,2,"No","Yes",617.54,811.31,23,4.1,700,144
"vaio","E","AMD","Ryzen 7","11th",4,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",15.6,2,"No","Yes",690.2,921.52,25,3.8,139,26
"vaio","E","AMD","Ryzen 7","11th",8,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",15.6,2,"No","Yes",702.31,921.52,23,3.8,139,26
"vaio","SE","Intel","Core i5","8th",8,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",15.6,2,"No","Yes",761.66,1025.68,25,4,85,14
