"brand","model","processor_brand","processor_name","processor_gnrtn","ram_gb","ram_type","ssd","hdd","os","os_bit","graphic_card_gb","weight","display_size","warranty","Touchscreen","msoffice","latest_price","old_price","discount","star_rating","ratings","reviews"
"HP","15s","AMD","Ryzen 5","11th",4,"DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","15.6",1,"No","Yes",53490,59990,10,4.4,826,118
"HP","15s","AMD","Ryzen 5","11th",4,"DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","14",1,"No","Yes",54590,59990,9,4.4,349,69
"HP","15s","AMD","Ryzen 7","11th",4,"DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","15.6",1,"No","Yes",68500,72000,4,4.5,134,22
"HP","15s","Intel","Core i3","10th",4,"DDR4","0 GB","1024 GB","Windows","64-bit",0,"ThinNlight","15.6",1,"No","Yes",40750,43090,5,4.1,1096,116
"HP","15s","Intel","Core i3","11th",4,"DDR4","0 GB","1024 GB","Windows","64-bit",0,"ThinNlight","15.6",1,"No","Yes",39990,45514,12,3.9,324,45
"HP","15s","Intel","Core i3","11th",4,"DDR4","512 GB","0 GB","Windows","32-bit",0,"ThinNlight","15.6",1,"No","No",50990,51748,1,0.0,0,0
"HP","15s","Intel","Core i3","11th",4,"DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","15.6",1,"No","Yes",45490,46990,3,4.3,523,66
"HP","15s","Intel","Core i3","11th",8,"DDR4","0 GB","1024 GB","Windows","64-bit",0,"ThinNlight","15.6",1,"No","Yes",43690,48933,10,4.1,4999,490
"HP","15s","Intel","Core i5","10th",8,"LPDDR4","0 GB","512 GB","DOS","32-bit",0,"ThinNlight","14",0,"No","No",55990,63179,11,4.0,818,109
"HP","250-G6","Intel","Core i5","7th",4,"DDR4","0 GB","1024 GB","Windows","32-bit",2,"Casual","15.6",0,"No","No",46200,0,0,4.2,47,7
"HP","APU","AMD","APU Dual","10th",4,"DDR4","0 GB","1024 GB","Windows","32-bit",0,"Casual","14",0,"No","No",20900,22825,8,3.9,1185,141
"HP","Athlon","AMD","Athlon Dual","10th",32,"DDR4","32 GB","0 GB","Windows","32-bit",4,"Casual","14",0,"No","No",26899,27668,2,0.0,0,0
"HP","Celeron","Intel","Celeron Dual","10th",8,"DDR4","256 GB","0 GB","Windows","64-bit",0,"ThinNlight","14",0,"No","No",32490,39288,17,4.0,58,6
"HP","Chromebook","Intel","Celeron Dual","10th",4,"DDR4","0 GB","512 GB","Windows","64-bit",0,"Casual","15.6",0,"No","No",27990,31532,11,3.8,596,65
"HP","Chromebook","Intel","Dual Core","10th",4,"DDR4","0 GB","512 GB","DOS","32-bit",0,"Casual","15.6",0,"No","No",61745,0,0,4.6,23,4
"HP","Chromebook","MediaTek","MediaTek Kompanio","10th",4,"DDR4","0 GB","512 GB","DOS","32-bit",0,"Casual","15.6",0,"No","No",22990,26663,13,3.8,4623,553
"HP","Chromebook","MediaTek","MediaTek Kompanio","10th",4,"LPDDR4X","0 GB","512 GB","DOS","32-bit",0,"Casual","15.6",0,"No","No",22490,24845,9,3.8,4623,553
"HP","Chromebook","MediaTek","MediaTek Kompanio","10th",4,"LPDDR4X","0 GB","512 GB","DOS","32-bit",0,"Casual","15.6",0,"No","No",22990,24845,7,3.8,4623,553
"HP","DA","Intel","Core i3","7th",8,"DDR4","0 GB","1024 GB","Windows","64-bit",2,"Casual","15.6",0,"No","No",49279,0,0,4.5,38,3
"HP","Envy","AMD","Ryzen 5","11th",16,"DDR4","512 GB","0 GB","Windows","64-bit",0,"Casual","13.3",1,"Yes","Yes",98020,0,0,0.0,0,0
"HP","Envy","AMD","Ryzen 5","11th",8,"DDR4","512 GB","0 GB","Windows","64-bit",0,"Casual","13.3",1,"Yes","Yes",73999,88840,16,4.6,206,27
"HP","Envy","Intel","Core i5","10th",8,"DDR4","512 GB","0 GB","Windows","64-bit",4,"Casual","16",1,"No","Yes",106490,138366,23,4.7,3,0
"HP","Envy","Intel","Core i7","10th",16,"DDR4","1024 GB","0 GB","Windows","64-bit",6,"Casual","15.6",1,"No","Yes",144690,173453,16,4.2,17,4
"HP","Envy","Intel","Core i7","11th",16,"DDR4","512 GB","0 GB","Windows","64-bit",0,"Casual","13.3",1,"Yes","Yes",102990,114751,10,4.7,11,2
"HP","Envy","Intel","Core i7","11th",16,"DDR4","512 GB","0 GB","Windows","64-bit",0,"Casual","16",1,"Yes","Yes",104000,118776,12,0.0,0,0
"HP","HP","AMD","Ryzen 5","11th",8,"DDR4","512 GB","0 GB","Windows","64-bit",4,"Casual","15.6",1,"No","No",59990,76020,21,4.4,1978,188
"HP","HP","AMD","Ryzen 7","11th",16,"DDR4","1024 GB","0 GB","Windows","64-bit",0,"ThinNlight","13.3",1,"Yes","Yes",92990,112671,17,0.0,0,0
"HP","HP","Intel","Core i5","11th",16,"DDR4","512 GB","0 GB","Windows","64-bit",4,"Casual","14",1,"No","Yes",100990,113000,10,0.0,0,0
"HP","HP","Intel","Core i5","11th",8,"DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","16",1,"Yes","Yes",114999,138166,16,0.0,0,0
